Title,Name,Abbreviati,Year,Address,State,Town,Zip,Agency,Mission_Ar,Recipient,Recipient_,Funding,Funding_Ty,Description,Topic_A,Topic_B,Topic_C,More_infor,latitude,longitude,Cooking,Tourism,"Food Deserts",Beef,Alcohol,Bees,Youth,"Beginning Farmers",Organic,Blueberries,Heritage,Soilless,Logo/Branding,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,"Census Year","State FIPS","County FIPS","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","State Legislative District House","State Legislative District Senate","Congressional District"
"Alaska Cooperative Development Program","Rural Cooperative Development Grants",RCDG,2009,"Anchorage, AK",AK,Anchorage," ",RBCS,"Rural Development","University Of Alaska-Anchorage",Academic,197783,Grant,"Grant funds used to support/develop a center for cooperative development, helping with local food marketing among other things.","Marketing and Promotion"," "," ",http://www.rurdev.usda.gov/BCP_RCDG.html,61.217559,-149.85838,,,,,,,,,,,,,,61.217557,-149.858761,1,nearest_street,1300,"E 5th Ave",Anchorage,AK,"Anchorage Municipality",99501,US,2015,02,02020,0203000,000901,1015,1,"State House District 20","State Senate District J",AK0
"Alaska Cooperative Development Program","Rural Cooperative Development Grants",RCDG,2010,"Anchorage, AK",AK,Anchorage," ",RBCS,"Rural Development","University Of Alaska-Anchorage",Academic,225000,Grant,"Grant funds used to support/develop a center for cooperative development, helping with local food marketing among other things.","Marketing and Promotion"," "," ",http://www.rurdev.usda.gov/BCP_RCDG.html,61.217559,-149.85838,,,,,,,,,,,,,,61.217557,-149.858761,1,nearest_street,1300,"E 5th Ave",Anchorage,AK,"Anchorage Municipality",99501,US,2015,02,02020,0203000,000901,1015,1,"State House District 20","State Senate District J",AK0
"Alaska Cooperative Development Program","Rural Cooperative Development Grants",RCDG,2011,"99508, Anchorage, AK",AK,Anchorage,99508,RBCS,"Rural Development","University of Alaska-Anchorage",Academic,225000,Grant,"Improve economic conditions in rural Alaska by encouraging the establishment of new cooperatives and offering assistance to strengthen and retain existing cooperatives including fishery co-ops.",Infrastructure,"Careers in Ag"," "," ",61.205307,-149.813389,,,,,,,,,,,,,,61.205366,-149.814194,1,nearest_street,3650,"E 17th Ave",Anchorage,AK,"Anchorage Municipality",99508,US,2015,02,02020,0203000,001601,2009,2,"State House District 19","State Senate District J",AK0
"Alaska Grown Source Book","Specialty Crop Block Grants",SCBG,2009,"99645, Palmer, AK",AK,Palmer,99645,AMS,"Marketing and Regulatory Programs","Alaska Division of Agriculture",Government,8000,Grant,"Produce, update, and disseminate a Food & Farm Products Directory through various technologies in order to increase the visibility of Alaska grown specialty crops and provide matching funds for nonspecialty crop commodities","Marketing and Promotion"," "," ",http://dnr.alaska.gov/ag/ag_ms.htm,61.59949,-149.121347,,,,,,,,,,,,,,61.599437,-149.121175,1,nearest_street,442,"W Evergreen Ave",Palmer,AK,"Matanuska-Susitna Borough",99645,US,2015,02,02170,0258660,001202,2004,2,"State House District 11","State Senate District F",AK0
"Alaska Grown Web-Site","Specialty Crop Block Grants",SCBG,2010,"99645, Palmer, AK",AK,Palmer,99645,AMS,"Marketing and Regulatory Programs","Alaska Division of Agriculture",Government,15000,Grant,"Provide timely, accurate and important information regarding Alaska Grown specialty crops through the Alaska Grown website","Marketing and Promotion"," "," ",http://dnr.alaska.gov/ag/ag_AKGrown.htm,61.59949,-149.121347,,,,,,,,,,,,,,61.599437,-149.121175,1,nearest_street,442,"W Evergreen Ave",Palmer,AK,"Matanuska-Susitna Borough",99645,US,2015,02,02170,0258660,001202,2004,2,"State House District 11","State Senate District F",AK0
"Bright Beginnings","CACFP Wellness Grants",CACFP,2012,"1000 Sundown Court",AK,Anchorage,99515,FNS,"Food, Nutrition and Consumer Services","Bright Beginnings",Business,1509.09,Grant,"Implemented ""Alaska Grown"" week with lesson plans and snacks.  Purchased children's books on gardening to use in the classroom and made small plantar boxes and grew plants from seeds with the children.","Healthy Food Access","Farm to Institution"," "," ",61.132792,-149.863161,,,,,,,1,,,,,,,61.13282,-149.862784,1,nearest_street,1033,"Sundown Ct",Anchorage,AK,"Anchorage Municipality",99515,US,2015,02,02020,0203000,002712,3017,3,"State House District 26","State Senate District M",AK0
"Calypso Farm to School Project","Specialty Crop Block Grants",SCBG,2011,"99709, Fairbanks, AK",AK,Fairbanks,99709,AMS,"Marketing and Regulatory Programs","Calypso Farm and Ecology Center",Nonprofit,10000,Grant,"Calypso Farm and Ecology Center will provide students with hands on educational opportunities through school gardens allowing them to connect with the garden and learn the value of nutrition and healthy eating habits","Healthy Food Access","Farm to Institution"," ",http://www.calypsofarm.org/,64.852226,-147.880539,,,,,,,1,,,,,,,64.852355,-147.881124,1,nearest_street,2359,"Hawthorne Ct",Fairbanks,AK,"Fairbanks North Star Borough",99709,US,2015,02,02090,0224230,000900,2008,2,"State House District 5","State Senate District C",AK0
"Chef at the Market","Specialty Crop Block Grants",SCBG,2014,"1800 Glenn Highway",AK,Palmer,99645,AMS,"Marketing and Regulatory Programs","Alaska Division of Agriculture",Government,35105.22,Grant,"Increase sales of specialty crops at farmers’ markets by continuing to implement the Chef at the Market program, which provides chef demonstrations at farmers’ markets utilizing available Alaska Grown specialty crops.","Marketing and Promotion","Marketing and Promotion"," "," ",61.586786,-149.128129,1,,,,,,,,,,,,,61.58789,-149.126514,1,nearest_street,1649,"S Glenn Hwy",Palmer,AK,"Matanuska-Susitna Borough",99645,US,2015,02,02170,0258660,001201,2049,2,"State House District 11","State Senate District F",AK0
"Chef at the Market","Specialty Crop Block Grants",SCBG,2011,"99645, Palmer, AK",AK,Palmer,99645,AMS,"Marketing and Regulatory Programs","Alaska Division of Agriculture",Government,15000,Grant,"Host Chef Days at statewide farmers markets to provide attendees with new and exciting ways to use Alaska Grown specialty crops in order to increase sales as well as consumption","Marketing and Promotion"," "," ",http://dnr.alaska.gov/ag/ag_AKGrown.htm,61.59949,-149.121347,1,,,,,,,,,,,,,61.599437,-149.121175,1,nearest_street,442,"W Evergreen Ave",Palmer,AK,"Matanuska-Susitna Borough",99645,US,2015,02,02170,0258660,001202,2004,2,"State House District 11","State Senate District F",AK0
"ChefDays Farmers Market Project","Specialty Crop Block Grants",SCBG,2012,"99501, Anchorage, AK",AK,Anchorage,99501,AMS,"Marketing and Regulatory Programs","Alaska Division of Agriculture",Government,20000,Grant,"Host Chef Days at statewide farmers markets to provide attendees with new and exciting ways to use Alaska Grown specialty crops in order to increase sales as well as consumption.","Marketing and Promotion"," "," ",http://dnr.alaska.gov/ag/,61.213119,-149.877039,1,,,,,,,,,,,,,61.212838,-149.877144,1,nearest_street,949,"Denali St",Anchorage,AK,"Anchorage Municipality",99501,US,2015,02,02020,0203000,001000,2026,2,"State House District 20","State Senate District J",AK0
"City of Wrangell Medical Center Community Garden Greenhouses","Community Facilities",CF,2010,"99929, Wrangell, AK",AK,Wrangell,99929,RHS,"Rural Development","City of Wrangell Medical Center Community Garden Greenhouses",Nonprofit,100000,Grant,"Purchase two greenhouses to complement their community garden and provide year-round access to fresh fruits and vegetables.  Wrangell is located on a remote island and fresh fruits and vegetables are barged to the community once a week.",Infrastructure,"Healthy Food Access"," ",http://www.rurdev.usda.gov/HCF_CF.html,56.472857,-132.387171,,,,,,,,,,,,,,56.473002,-132.386919,1,nearest_street,139,"Fort St",Wrangell,AK,"Wrangell City and Borough",99929,US,2015,02,02275,0286380,000300,3004,3,"State House District 36","State Senate District R",AK0
